,NFLX,KHC,GS,USB,CMCSA,COF,DIS,CAT,TTWO,SPGI,D,GWW,KMB,OXY,CVX,CI,CMI,UNP,TWTR,ADI
D,0.39770268852297425,-0.5129705519030469,0.5029301890100731,-0.08676866722956644,0.660029212395596,0.09837091151213542,0.4079271632351961,0.4060852395574196,0.5372934900102727,0.7926331042171514,1.0,0.5482956134940434,0.8148789684392379,-0.6363939390803295,-0.23312655379999989,0.12475437890903548,0.647685048348451,0.6128987786451808,0.19997790565830226,0.7518361764640358
GWW,0.5397798593380505,0.10180576309601352,0.5585854904791214,-0.06462383999746965,0.5557448939497582,0.09415841053498542,0.3152361423645825,0.8305441015624108,0.6458359200317164,0.6871708661069457,0.5482956134940434,1.0,0.5467459435088455,-0.36997684288000254,-0.2142721416912579,0.27367051526978214,0.8539260880536895,0.785627788622922,0.31060384804472174,0.6102457561227798
KMB,0.6291379143485117,-0.5731457981603998,0.34064393768717605,-0.3134382129630539,0.6960424214009346,-0.14642160389234307,0.40398813867989675,0.380658611029162,0.7787650287260884,0.9228435696542773,0.8148789684392379,0.5467459435088455,1.0,-0.805536823030486,-0.415317508426944,-0.17380876735762843,0.7756470417054576,0.7048383114708775,0.407263009701177,0.7926269606754759
OXY,-0.6858753646575406,0.4608212234940167,0.05684150503028238,0.6934939022918705,-0.27497673725721894,0.5784101101749702,0.06760661274997674,-0.07802762477802613,-0.7513108529307707,-0.8447254524709904,-0.6363939390803295,-0.36997684288000254,-0.805536823030486,1.0,0.8001014936314023,0.11088138597631088,-0.5607453295501068,-0.37401555339633535,-0.04578952162412443,-0.48156194907382105
CVX,-0.6537413076008916,0.08038827915892445,0.37509155518804266,0.8831664078430611,0.16987703013474334,0.7979735361168139,0.5138883930171652,0.10305545371237838,-0.5620171296967994,-0.5334766304216995,-0.23312655379999989,-0.2142721416912579,-0.415317508426944,0.8001014936314023,1.0,0.00896522715153392,-0.2502894091862642,-0.0448170801456577,0.12355241418447553,-0.023258998975652957
CI,-0.04601678549020233,0.5657958297532095,0.3579748469258976,0.11004222618614093,-0.21112960782609483,0.17667606125240454,-0.06481872600885155,0.16187596067107934,0.02948674844062859,0.011403703894166806,0.12475437890903548,0.27367051526978214,-0.17380876735762843,0.11088138597631088,0.00896522715153392,1.0,-0.0572345572638949,-0.04543857572010969,-0.3787273851640033,-0.13812442163642974
CMI,0.6669300182829152,-0.2116835000789724,0.5040305931751007,-0.1323057620608581,0.7377947772539564,0.043287818138868485,0.4837813627411524,0.7960777697734768,0.7457685156388828,0.82452743389082,0.647685048348451,0.8539260880536895,0.7756470417054576,-0.5607453295501068,-0.2502894091862642,-0.0572345572638949,1.0,0.9144722400791466,0.46258958672813366,0.7869189361473184
UNP,0.5792774899487977,-0.2527127354550324,0.6390037200104901,0.05653438511499714,0.7988349452874991,0.25645376488577176,0.6263888799174885,0.8192761189900277,0.5815887862966976,0.7373245954161043,0.6128987786451808,0.785627788622922,0.7048383114708775,-0.37401555339633535,-0.0448170801456577,-0.04543857572010969,0.9144722400791466,1.0,0.564955772524966,0.8264086326680244
TWTR,0.19700124517261774,-0.17984622025027797,0.34108300876437336,0.15053498321656358,0.6644259730730439,0.2718574534808747,0.5045044174838562,0.3497265550422468,0.40622772697505816,0.3290845940377982,0.19997790565830226,0.31060384804472174,0.407263009701177,-0.04578952162412443,0.12355241418447553,-0.3787273851640033,0.46258958672813366,0.564955772524966,1.0,0.4567176755275324
ADI,0.5143767848492756,-0.5276214788911625,0.593069663493234,0.020237663729870528,0.7867098600063511,0.16661602946459828,0.5832177938360774,0.593959010481598,0.5104573697606529,0.7817843974454172,0.7518361764640358,0.6102457561227798,0.7926269606754759,-0.48156194907382105,-0.023258998975652957,-0.13812442163642974,0.7869189361473184,0.8264086326680244,0.4567176755275324,1.0
