,NFLX,KHC,GS,USB,CMCSA,COF,DIS,CAT,TTWO,SPGI,D,GWW,KMB,OXY,CVX,CI,CMI,UNP,TWTR,ADI
D,0.4842662797045079,-0.4890232591661288,0.5165013648382164,-0.1793592633826018,0.6943959814076677,0.03211170238819627,0.4021380699876043,0.44931482675317413,0.58280619136187,0.8356510485415665,1.0,0.5882293022658681,0.8512298010904737,-0.705841669585497,-0.3220437141620451,-0.06384566609912704,0.7190782759372017,0.6816950654051316,0.14875720582344476,0.7847322034826628
GWW,0.6678539833431206,0.1402844271037272,0.455017052302159,-0.25380628145308054,0.6224242985620645,-0.052635027227858115,0.2161080492671121,0.8458349405287723,0.7504181415600255,0.7228659808350558,0.5882293022658681,1.0,0.6350136946179327,-0.4924710177044102,-0.42308149339604406,0.1405448266758732,0.885580651094648,0.8026080453327238,0.4339516889995877,0.6162422995951344
KMB,0.6906092012235833,-0.5131743217771907,0.34371166134368053,-0.38364415533975027,0.7361735366806443,-0.20339505071977362,0.3726499483676062,0.4683823691035717,0.786314594861682,0.9398833401971172,0.8512298010904737,0.6350136946179327,1.0,-0.8338195992302866,-0.4915834079508435,-0.3063990649016452,0.8336665086949561,0.7769858107348759,0.4273635212599827,0.8308237032992005
OXY,-0.7610589719401966,0.4029583585877737,-0.015438663003458229,0.709813712560135,-0.36465195843711545,0.5735018300686618,0.04581890300695629,-0.2591461348384348,-0.7716717631393541,-0.9015902471396066,-0.705841669585497,-0.4924710177044102,-0.8338195992302866,1.0,0.8235564596543963,0.0742044947264952,-0.6761598033453962,-0.5209116389360727,-0.11733622305296317,-0.5625157452964641
CVX,-0.7668131441230843,0.057967723830939843,0.25248668299110383,0.879345618149759,-0.005109757264975001,0.7578936959460681,0.4549664961699963,-0.19053828118510588,-0.6634228904898083,-0.6610949379189267,-0.3220437141620451,-0.42308149339604406,-0.4915834079508435,0.8235564596543963,1.0,-0.07614055402385517,-0.463469660615259,-0.2882899884480154,-0.055068926923047594,-0.18101297818531698
CI,-0.12346973921474748,0.6517399412747811,0.14510349926602484,0.02246953686378535,-0.3555840623741351,0.033768301433096955,-0.23218814675257962,-0.0017513668165475744,-0.008588652568063302,-0.0965671318373238,-0.06384566609912704,0.1405448266758732,-0.3063990649016452,0.0742044947264952,-0.07614055402385517,1.0,-0.14247496673851084,-0.23058217506019107,-0.5005437962548749,-0.293380924417859
CMI,0.7859743072354656,-0.17206718593704687,0.43327746714735316,-0.313251579915372,0.7717002169688848,-0.09533482807832604,0.36896743709420404,0.8198519440995116,0.7957590233812233,0.8585016700858131,0.7190782759372017,0.885580651094648,0.8336665086949561,-0.6761598033453962,-0.463469660615259,-0.14247496673851084,1.0,0.9192781529681187,0.5220913909358753,0.8052970842806275
UNP,0.7017082851920977,-0.27519486988437986,0.5769041570139596,-0.13606764018983963,0.8260727200987505,0.11267584653781251,0.532345689450158,0.8113732068547922,0.6491481046108357,0.7717223070044456,0.6816950654051316,0.8026080453327238,0.7769858107348759,-0.5209116389360727,-0.2882899884480154,-0.23058217506019107,0.9192781529681187,1.0,0.6268104607998333,0.8493138141297861
TWTR,0.32496255900508686,-0.08669287947414289,0.4002391906399116,0.050344641712516194,0.6898806201319648,0.2118952293418396,0.4755295568891577,0.4553935094382306,0.5006931275852915,0.33778834370957234,0.14875720582344476,0.4339516889995877,0.4273635212599827,-0.11733622305296317,-0.055068926923047594,-0.5005437962548749,0.5220913909358753,0.6268104607998333,1.0,0.4625860020377118
ADI,0.6021245420454648,-0.47874139670829774,0.5252992328053059,-0.12236282018866965,0.7612600600045457,0.05297078204704614,0.49996727221492315,0.5930361711677979,0.5270415425946163,0.7827355755653757,0.7847322034826628,0.6162422995951344,0.8308237032992005,-0.5625157452964641,-0.18101297818531698,-0.293380924417859,0.8052970842806275,0.8493138141297861,0.4625860020377118,1.0
